Price,Make,Location,Age,Odometer,FuelType,Transmission,OwnerType,Mileage,EngineCC,PowerBhp
8.5,skodasuperb,Pune,8,136997,Diesel,Automatic,First,17.2,1968,138.1
4.23,hyundaieon,Kochi,1,14322,Petrol,Manual,First,21.1,814,55.2
3.5,volkswagenpolo,Jaipur,8,65634,Diesel,Manual,First,22.07,1199,73.9
2.5,datsungo,Kolkata,4,6000,Petrol,Manual,First,20.63,1198,67.06
2.39,hondabrio,Kolkata,7,33280,Petrol,Manual,First,19.4,1198,86.8
11.25,mercedesbenzb,Delhi,7,29000,Petrol,Automatic,First,14.8,1595,120.7
7.11,hondacity,Kochi,5,42831,Diesel,Manual,First,26,1498,98.6
10.9,toyotainnova,Ahmedabad,4,90000,Diesel,Manual,First,12.99,2494,100.6
6.2,marutiswift,Ahmedabad,3,24005,Petrol,Manual,First,20.4,1197,81.8
7.9,mahindraxuv500,Mumbai,8,32792,Diesel,Manual,First,15.1,2179,140
4.42,fordecosport,Kochi,6,147898,Diesel,Manual,First,22.7,1498,89.84
13.5,toyotafortuner,Mumbai,8,131765,Diesel,Manual,First,13,2982,168.5
6.25,volkswagenvento,Chennai,7,65000,Diesel,Automatic,First,21.5,1498,108.5
2.1,fordfigo,Jaipur,10,66123,Diesel,Manual,Second,20,1399,68
45,bmwx5,Mumbai,5,41000,Diesel,Automatic,First,15.3,2993,258
33.66,mercedesbenznewclass,Coimbatore,3,23550,Diesel,Automatic,First,19.27,2143,167.62
3.65,hondabrio,Bangalore,8,45000,Petrol,Manual,Second,19.4,1198,86.8
2.75,hyundaii10,Delhi,7,60000,Petrol,Manual,First,20.36,1197,78.9
42.5,mercedesbenzglc,Bangalore,4,44414,Diesel,Automatic,First,17.9,2143,170
6.5,hyundaigrand,Kolkata,1,1000,Petrol,Manual,First,18.9,1197,81.86
19,audia6,Mumbai,8,62500,Diesel,Automatic,Second,17.68,1968,174.33
4.45,volkswagenvento,Mumbai,7,21000,Petrol,Automatic,Second,14.4,1598,103.6
23,minicountryman,Jaipur,3,8525,Diesel,Automatic,Second,16.6,1998,112
8.35,hyundaii20,Bangalore,6,29000,Diesel,Manual,First,22.54,1396,88.73
22.95,audia6,Mumbai,6,40000,Diesel,Automatic,First,17.68,1968,174.33
1.5,chevroletbeat,Jaipur,8,88000,Diesel,Manual,First,25.44,936,57.6
6.89,skodasuperb,Kochi,8,53537,Petrol,Automatic,First,13.7,1798,157.75
1.45,fordfiesta,Chennai,14,216000,Diesel,Manual,Second,17.8,1399,68
33.5,bmw5,Hyderabad,6,51000,Diesel,Automatic,First,22.48,1995,190
1.25,chevroletoptra,Jaipur,13,118500,Petrol,Manual,First,12.9,1598,102.5
4.2,volkswagenpolo,Hyderabad,8,63000,Diesel,Manual,First,22.07,1199,73.9
6.75,renaultlodgy,Mumbai,5,25000,Diesel,Manual,First,19.98,1461,108.5
32,mercedesbenzeclass,Bangalore,6,37382,Diesel,Automatic,First,13,2143,201.1
7.5,marutibaleno,Kochi,3,24773,Petrol,Manual,First,21.4,1197,83.1
4.6,hyundaiverna,Delhi,8,62000,Diesel,Manual,First,22.32,1582,126.32
4.04,hyundaii10,Kochi,3,52340,Petrol,Manual,First,19.81,1086,68.05
10.31,mahindrascorpio,Kochi,4,56739,Diesel,Manual,First,15.4,1997,120
55.76,landroverrangerover,Coimbatore,2,36091,Diesel,Automatic,First,12.7,2179,187.7
2.6,fordfigo,Chennai,10,120000,Diesel,Manual,First,20,1399,68
8.5,marutiertiga,Mumbai,4,33000,Diesel,Manual,First,25.47,1248,88.5
2.95,hondacity,Ahmedabad,13,60006,Petrol,Manual,First,18.42,1494.72,110.78
3.5,hondaamaze,Kolkata,6,52000,Diesel,Manual,First,25.8,1498,98.6
3.55,hyundaii10,Jaipur,5,43571,Petrol,Manual,First,20.36,1197,78.9
3.25,hondaamaze,Kolkata,7,50000,Diesel,Manual,First,25.8,1498,98.6
4.5,skodalaura,Hyderabad,12,113000,Diesel,Manual,First,17.5,1896,106
5.35,renaultduster,Delhi,6,90000,Diesel,Manual,First,19.87,1461,83.8
6.5,mahindranuvosport,Chennai,3,29000,Diesel,Manual,Second,17.45,1493,100
9,marutivitarabrezza,Mumbai,4,20000,Diesel,Manual,First,24.3,1248,88.5
6,hyundaii20,Kochi,4,61012,Petrol,Manual,First,18.6,1197,81.83
2.75,skodafabia,Jaipur,11,87459,Petrol,Manual,First,14.7,1390,85
1.5,tataindigo,Pune,10,70500,Petrol,Manual,First,15.64,1193,64.1
19.9,audiq3,Delhi,5,64103,Diesel,Automatic,First,15.73,1968,174.33
10,skodaoctavia,Mumbai,6,76000,Petrol,Automatic,First,14.7,1798,177.5
3,toyotaetios,Delhi,6,104000,Diesel,Manual,First,23.59,1364,67.06
2.11,marutiswift,Kolkata,10,42001,Petrol,Manual,First,16.1,1240.47,77.88
11.96,mercedesbenzb,Kochi,6,37245,Petrol,Automatic,First,14.8,1595,120.7
3.25,hondaamaze,Kolkata,7,45000,Diesel,Manual,First,27.4,1498,98.6
4.75,hyundaiverna,Jaipur,8,117837,Diesel,Manual,Second,22.32,1582,126.32
5.95,renaultduster,Mumbai,6,30000,Diesel,Manual,First,20.46,1461,83.8
8.15,hyundaicreta,Delhi,5,27057,Petrol,Manual,Second,15.29,1591,121.3
4.22,marutiwagonr,Mumbai,4,8500,Petrol,Automatic,First,20.51,998,67
10.5,mercedesbenznewclass,Kolkata,10,30500,Petrol,Automatic,First,11.74,1796,186
45,audia8,Delhi,8,56000,Diesel,Automatic,First,11.8,2967,246.7
2.9,hyundaii10,Pune,8,44000,Petrol,Manual,Second,19.81,1086,68.05
8.9,skodarapid,Mumbai,3,10500,Petrol,Automatic,First,14.3,1598,103.52
26,skodasuperb,Hyderabad,3,26000,Petrol,Automatic,First,14.67,1798,177.46
8.22,hyundaii20,Coimbatore,2,25166,Petrol,Manual,First,17.19,1197,81.86
3.5,hondaamaze,Kolkata,6,64000,Diesel,Manual,Second,25.8,1498,98.6
1.25,marutiwagonr,Chennai,16,61000,Petrol,Manual,Second,18.9,998,67.1
3.7,mahindraverito,Hyderabad,7,107000,Diesel,Manual,First,21.03,1461,65
39.41,mercedesbenznewclass,Coimbatore,2,29161,Diesel,Automatic,First,19.27,2143,167.62
2.65,marutiwagonr,Kolkata,7,32000,Petrol,Manual,First,22.5,998,67.04
8.92,nissanterrano,Coimbatore,5,46173,Diesel,Manual,Second,19.01,1461,108.5
4.1,marutiswift,Delhi,7,47000,Diesel,Manual,First,17.8,1248,77.88
35.67,minicooper,Kochi,3,26327,Petrol,Automatic,First,16.82,1998,189.08
3.6,fordfigo,Bangalore,5,70436,Diesel,Manual,First,19.63,1498,99
0.85,tataindica,Jaipur,13,200000,Diesel,Manual,Second,17.2,1396,53.5
3.32,chevroletbeat,Kochi,4,60813,Petrol,Manual,Second,18.6,1199,76.8
3.6,volkswagenpolo,Mumbai,8,45000,Diesel,Manual,First,22.07,1199,73.9
6.8,marutiswift,Hyderabad,4,64000,Diesel,Manual,First,22.9,1248,74
2.5,fordfigo,Kolkata,8,41284,Diesel,Manual,First,20,1399,68.05
19.64,toyotainnovacrysta,Kochi,1,14165,Diesel,Automatic,First,11.36,2755,171.5
7,hyundaisanta,Mumbai,9,67000,Diesel,Automatic,Second,11.72,2199,194.3
3.87,hondacity,Kolkata,9,32572,Petrol,Manual,First,17.4,1497,117.3
6.27,hyundaii20,Kochi,2,14960,Petrol,Manual,First,18.6,1197,81.83
18.12,mercedesbenznewclass,Kochi,5,55980,Diesel,Automatic,First,19.27,2143,167.62
2.65,chevroletbeat,Mumbai,7,74000,Diesel,Manual,First,25.44,936,57.6
7.2,hyundaii20,Kochi,5,56847,Diesel,Manual,First,22.54,1396,88.73
14.3,toyotainnova,Coimbatore,5,121374,Diesel,Manual,First,12.99,2494,100.6
6.9,marutiertiga,Chennai,7,52000,Diesel,Manual,First,20.77,1248,88.76
10.75,toyotainnova,Mumbai,6,118000,Diesel,Manual,First,12.8,2494,102
0.95,hyundaisantro,Mumbai,13,72000,Petrol,Manual,Third,17,1086,62.28
8.09,hondacity,Kochi,4,33915,Petrol,Manual,First,17.8,1497,117.3
18.5,bmwx1,Ahmedabad,6,82002,Diesel,Automatic,First,17.05,1995,184
4.75,hyundaigrand,Mumbai,3,33000,Diesel,Manual,First,24,1120,70
8.45,maruticiaz,Chennai,4,34000,Diesel,Manual,First,28.09,1248,88.5
3.5,skodarapid,Kolkata,8,55000,Diesel,Manual,First,20.5,1598,103.6
1.8,hyundaiaccent,Kochi,14,160538,Diesel,Manual,First,13.1,1493,82
3.7,volkswagenpolo,Jaipur,6,60000,Diesel,Manual,Second,19.91,1498,103.6
7.17,hondajazz,Coimbatore,3,49575,Petrol,Manual,First,18.7,1199,88.7
1.75,hyundaii10,Jaipur,10,83000,Petrol,Manual,First,19.81,1086,68.05
21.99,hyundaitucson,Kochi,2,51346,Diesel,Automatic,First,16.38,1995,183
18.65,toyotainnovacrysta,Pune,3,43000,Diesel,Manual,First,13.68,2393,147.8
1.85,marutiomni,Jaipur,9,35000,Petrol,Manual,Third,19.7,796,35
5.95,marutiswift,Coimbatore,3,27872,Petrol,Manual,Second,20.4,1197,81.8
3.75,hyundaigrand,Mumbai,6,16514,Petrol,Manual,First,18.9,1197,82
3.75,marutiswift,Pune,8,120000,Diesel,Manual,First,22.9,1248,74
2.6,hyundaiverna,Hyderabad,12,143275,Diesel,Manual,First,22,1582,126.2
1.75,hyundaisantro,Hyderabad,14,99000,Petrol,Manual,First,17.2,1086,62.28
2.8,hyundaii20,Mumbai,10,52000,Petrol,Manual,First,17,1197,80
61.29,mercedesbenzgle,Coimbatore,3,29819,Diesel,Automatic,First,11.57,2987,254.79
18,mercedesbenznewclass,Bangalore,6,57000,Diesel,Manual,Second,15.8,2148,170
4.35,marutiritz,Hyderabad,6,88500,Diesel,Manual,First,23.2,1248,73.94
13.75,hyundaicreta,Bangalore,4,28000,Diesel,Manual,First,19.67,1582,126.2
2,marutiastar,Pune,10,67000,Petrol,Manual,First,19,998,66.1
10,renaultduster,Delhi,4,26000,Diesel,Manual,First,19.64,1461,108.45
1.65,fiatgrandepunto,Delhi,10,120000,Diesel,Manual,First,17.8,1248,76
45.77,bmwx3,Coimbatore,3,51982,Diesel,Automatic,First,16.55,2993,258
3.25,hyundaii10,Bangalore,10,36000,Petrol,Manual,Second,20.36,1197,78.9
12.8,toyotainnova,Pune,4,47000,Diesel,Manual,First,12.8,2494,102
0.55,marutizen,Mumbai,18,60000,Petrol,Manual,Third,17.3,993,60
7.15,marutiswift,Hyderabad,2,31025,Diesel,Manual,First,28.4,1248,74
7,mahindrascorpio,Pune,7,105000,Diesel,Manual,Second,12.05,2179,120
3.75,tatazest,Pune,3,121900,Diesel,Manual,First,22.95,1248,74
8.5,fordecosport,Mumbai,3,22695,Petrol,Manual,First,18.88,999,123.24
4.35,marutiswift,Jaipur,8,73000,Diesel,Manual,First,23.4,1248,74
3.26,marutialto,Kochi,4,32227,Petrol,Manual,First,22.74,796,47.3
4.21,hondacity,Jaipur,9,55000,Petrol,Manual,First,17,1497,118
70.36,audiq7,Kochi,2,11287,Diesel,Automatic,First,12.07,2967,241.4
2.95,skodalaura,Mumbai,11,48000,Diesel,Automatic,Second,17,1896,105
4.28,hyundaiverna,Kochi,8,54308,Petrol,Manual,First,17.1,1591,121.3
3.57,hondacity,Jaipur,11,78442,Petrol,Automatic,First,16.8,1497,118
3.11,hyundaii20,Kolkata,7,46000,Diesel,Manual,First,21.9,1396,88.8
5.96,hyundaii20,Coimbatore,6,45051,Petrol,Automatic,First,15,1396,98.6
4.7,volkswagenvento,Hyderabad,9,69000,Diesel,Manual,First,20.54,1598,103.6
6.9,hondacity,Ahmedabad,6,49000,Petrol,Manual,First,17.4,1497,117.3
5.25,tatazest,Pune,2,45000,Diesel,Manual,First,22.95,1248,74
28,bmw5,Pune,5,64000,Diesel,Automatic,First,18.48,1995,177
1.35,marutiwagonr,Delhi,11,60000,Petrol,Manual,First,18.9,1061,67
4.85,hondajazz,Delhi,5,62178,Petrol,Manual,First,18.2,1199,88.7
6.7,volkswagenjetta,Coimbatore,8,58006,Diesel,Manual,First,15,1896,105
3.1,hyundaii10,Hyderabad,10,74000,Petrol,Manual,First,20.36,1197,78.9
18.64,mercedesbenznewclass,Kochi,5,77771,Diesel,Automatic,First,19.27,2143,170
2.8,hyundaii10,Pune,8,45275,Petrol,Manual,First,20.36,1197,78.9
20.25,toyotainnovacrysta,Chennai,4,48000,Diesel,Manual,First,13.68,2393,147.8
26.78,audia6,Kochi,5,31652,Diesel,Automatic,First,17.68,1968,174.33
8.26,toyotainnova,Hyderabad,10,109000,Diesel,Manual,Second,12.99,2494,100.6
3.89,volkswagenpolo,Mumbai,5,31978,Petrol,Manual,First,16.47,1198,73.9
2.1,marutialto,Hyderabad,9,70000,Petrol,Manual,First,20.92,998,67.1
12.69,hondacity,Mumbai,3,15000,Petrol,Automatic,First,18,1497,117.3
2.58,tataindigo,Coimbatore,7,59138,Diesel,Manual,First,17,1405,70
20.77,audia6,Kochi,6,61726,Diesel,Automatic,First,17.68,1968,174.33
20.26,mercedesbenzgla,Delhi,5,48000,Diesel,Automatic,First,17.9,2143,136
1.5,hyundaisantro,Chennai,14,58000,Petrol,Manual,Second,17.2,1086,62.28
2.5,marutiswift,Kolkata,9,60020,Diesel,Manual,First,17.8,1248,77.88
4.25,maruticelerio,Hyderabad,6,77815,Petrol,Automatic,First,23.1,998,67.04
57,mercedesbenzgle,Hyderabad,3,29000,Diesel,Automatic,First,17.9,2143,201.15
44,landroverrangerover,Delhi,3,44000,Diesel,Automatic,First,12.7,2179,187.7
3.65,volkswagenvento,Hyderabad,9,108626,Diesel,Manual,First,20.54,1598,103.6
2.05,marutiomni,Hyderabad,8,71791,Petrol,Manual,First,14,796,35
3.13,hondabrio,Kochi,8,91931,Petrol,Manual,First,18.5,1198,86.8
1.5,tatasumo,Hyderabad,20,158000,Diesel,Manual,Second,14.07,2956,83.1
2.85,tataindica,Pune,8,91183,Diesel,Manual,First,18,1248,75
2.65,marutiwagonr,Delhi,8,65000,Petrol,Manual,First,18.9,998,67.1
10.6,mahindraxuv500,Hyderabad,5,88428,Diesel,Manual,First,16,2179,140
1.25,tataindigo,Pune,12,138000,Diesel,Manual,Second,17.1,1396,70
8.25,marutiertiga,Mumbai,2,18000,Petrol,Manual,First,16.02,1373,93.7
4.45,hondaaccord,Mumbai,9,60000,Petrol,Automatic,First,11.7,2354,177.6
